key,lat,lng
Aberdeen|A.J. West Elementary,46.971968,-123.83775
Aberdeen|Central Park Elementary,46.967415,-123.69765
Aberdeen|District Admin Center,46.978377,-123.816521
Aberdeen|Facilities & Maintenance Shop,46.970851,-123.793853
Aberdeen|Hopkins Building (Harbor High School),46.971473,-123.832303
Aberdeen|J.M. Weatherwax High,46.978635,-123.82009
Aberdeen|McDermoth Elementary,46.977157,-123.82348
Aberdeen|Miller Junior Senior High,46.963896,-123.79198
Aberdeen|Robert Gray Elementary,46.98669,-123.81332
Aberdeen|Stadium and Locker Rooms,46.985718,-123.811224
Aberdeen|Stevens Elementary,46.966854,-123.78955
Adna|Adna Elementary,46.6381968,-123.0592843
Adna|Adna Middle High,46.6300742,-123.0570411
Adna|Adna School District Office,46.634584,-123.0604649
Almira|Almira Elementary,47.707214,-118.94136
Anacortes|Anacortes High,48.5068014,-122.6227004
Anacortes|Anacortes Middle,48.5037143,-122.6180359
Anacortes|Cap Sante High,48.50847344,-122.6220213
Anacortes|Fidalgo Elementary,48.4462957,-122.5825167
Anacortes|Island View Elementary,48.501583,-122.621344
Anacortes|Mount Erie Elementary,48.4874217,-122.6185359
Anacortes|Whitney Early Childhood Education Center,48.5121464,-122.6175741
Arlington|A Building and District Storage,48.19131,-122.12194
Arlington|Arlington High,48.1658,-122.1158
Arlington|District Administration,48.19573,-122.122
Arlington|Eagle Creek Elementary,48.197,-122.11483
Arlington|Haller Middle,48.19145,-122.11977
Arlington|Kent Prairie Elementary,48.1831,-122.1201
Arlington|Pioneer Elementary,48.16403,-122.119
Arlington|Post Middle,48.197,-122.114
Arlington|Presidents Elementary,48.1947,-122.1224
Arlington|Stillaguamish Valley,48.1878,-122.12037
Arlington|Trafton Elementary,48.2366884,-122.0595958
Arlington|Transportation Facility,48.1696,-122.1462
Arlington|Weston High,48.15234,-122.17114
Asotin-Anatone|Asotin Elementary,46.340237,-117.051269
Asotin-Anatone|Asotin Junior Senior High,46.3403,-117.0514
Auburn|Alpac Elementary,47.27092,-122.24868
Auburn|Arthur Jacobsen Elementary,47.341999,-122.1658
Auburn|Auburn Mountainview High,47.342097,-122.17259
Auburn|Auburn Riverside High,47.267824,-122.22223
Auburn|Auburn Senior High,47.310108,-122.2193
Auburn|Cascade Middle,47.329329,-122.21455
Auburn|Chinook Elementary,47.2895285,-122.1814965
Auburn|Dick Scobee Elementary,47.320959,-122.21592
Auburn|Evergreen Heights Elementary,47.319329,-122.2639
Auburn|Gildo Rey Elementary,47.278289,-122.21589
Auburn|Hazelwood Elementary,47.329063,-122.18365
Auburn|Ilalko Elementary,47.263944,-122.22742
Auburn|Lake View Elementary,47.316747,-122.12229
Auburn|Lakeland Hills Elementary,47.254342,-122.21535
Auburn|Lea Hill Elementary,47.324824,-122.17602
