district,school,building,built,buildingType,hazard,asce,mitigationType,mitigation
Aberdeen,A.J. West Elementary,1952 Building - 1952 Bldg,1952,W2,Moderate,Yes,,
Aberdeen,A.J. West Elementary,1952 Building - Cov Play,1952,W2,Moderate,Yes,,
Aberdeen,A.J. West Elementary,Annex Building - Area 1,1966,W2,Moderate,Yes,,
Aberdeen,A.J. West Elementary,Portable Building - Area 1,1985,W2,Low to Moderate,,,
Aberdeen,Central Park Elementary,Annex Building - 4,1966,W2,Moderate,Yes,,
Aberdeen,Central Park Elementary,Covered Play 1 - 2 & 3,1956,W2,Moderate,,,
Aberdeen,Central Park Elementary,Main Building - 1,1956,W2,Moderate,Yes,,
Aberdeen,Harbor High,Hopkins Building - 1 High School,1956,W2,Moderate,Yes,,
Aberdeen,Harbor High,Hopkins Building - 2 Pre School,1956,,Missing Data,,,
Aberdeen,Harbor High,Hopkins Building - 3 Daycare,1956,,Missing Data,,,
Aberdeen,Harbor High,Hopkins Building - 4 Gymnasium,1956,W2,Moderate,Yes,,
Aberdeen,J.M. Weatherwax High,Greenhouse #1 - 1,1999,,Missing Data,,,
Aberdeen,J.M. Weatherwax High,Greenhouse #2 - Greenhouse #2,1999,,Missing Data,,,
Aberdeen,J.M. Weatherwax High,Greenhouse #3 - Greenhouse #3,2014,,Low,,,
Aberdeen,J.M. Weatherwax High,Main Building - JM Weatherwax,2007,S2L,Low,Yes,,
Aberdeen,J.M. Weatherwax High,Main Building - Sam Benn Gym,1964,RM1L,High to Very High,Yes,,
Aberdeen,McDermoth Elementary,Main Building - 1,1926,C2L,Moderate to High,Yes,Structural Retrofit,Yes
Aberdeen,McDermoth Elementary,Main Building - 2,1998,C2L,Low,Yes,,No
Aberdeen,McDermoth Elementary,Main Building - 3,1998,C2L,Low,Yes,,
Aberdeen,McDermoth Elementary,Main Building - 4,1998,C1L,Low,Yes,,
Aberdeen,McDermoth Elementary,Main Building - 5,1926,C2L,Moderate to High,Yes,Structural Retrofit,Yes
Aberdeen,McDermoth Elementary,Main Building - 6,1998,C2L,Low,Yes,,
Aberdeen,McDermoth Elementary,Main Building - 7,1998,RM1L,High,Yes,,
Aberdeen,McDermoth Elementary,Main Building - 8,1926,C2L,Moderate to High,Yes,Structural Retrofit,Yes
Aberdeen,McDermoth Elementary,Main Building - 9,1998,C2L,Low,Yes,,No
Aberdeen,McDermoth Elementary,Main Building - Area 1,1998,C2L,Low,Yes,,No
Aberdeen,Miller Junior Senior High,Main Building - 1,1979,W2,Low to Moderate,Yes,,
Aberdeen,Miller Junior Senior High,Main Building - 2,1979,W2,Low to Moderate,Yes,,
Aberdeen,Robert Gray Elementary,Main Building - 1st floor,2002,W2,Low,Yes,,
Aberdeen,Robert Gray Elementary,Main Building - 2nd floor,2002,W2,Low,Yes,,
Aberdeen,Robert Gray Elementary,Main Building - Cov Play,2002,W2,Low,Yes,,
Aberdeen,Robert Gray Elementary,Portable Building - Area 1,1985,W2,Low to Moderate,,,
Aberdeen,Stadium and Locker Rooms Facility,Locker Room & Technology - 1,1950,,Missing Data,,,
Aberdeen,Stadium and Locker Rooms Facility,Locker Room & Technology - 2,1950,,Missing Data,,,
Aberdeen,Stadium and Locker Rooms Facility,Locker Room & Technology - 3,1950,,Missing Data,,,
Aberdeen,Stadium and Locker Rooms Facility,Locker Room & Technology - 4,1950,,Missing Data,,,
Aberdeen,Stadium and Locker Rooms Facility,North Stadium Building - Area 1,1800,,Missing Data,,,
Aberdeen,Stevens Elementary,Covered Play - 2,1955,W2,Moderate,,,
Aberdeen,Stevens Elementary,Main Building - 1,1955,W2,Moderate,Yes,,
Aberdeen,Stevens Elementary,Main Building - 3,1974,W2,Moderate,Yes,,
Aberdeen,Stevens Elementary,Main Building - 4,1976,W2,Low to Moderate,Yes,,
Aberdeen,Stevens Elementary,Main Building - 5,1976,W2,Low to Moderate,Yes,,
Aberdeen,Stevens Elementary,Main Building - 6,1976,W2,Low to Moderate,Yes,,
Aberdeen,Stevens Elementary,Portable - Area 1,1985,W2,Low to Moderate,,,
Aberdeen,Stevens Elementary,,,,,,,
Arlington,Arlington High,AF JROTC Portable - Area 1,1996,MH,Moderate,,,
Arlington,Arlington High,Greenhouse - Area 1,2003,S3,Moderate,,,
Arlington,Arlington High,Industrial Arts Building - Area 1,2003,S3,Moderate,,,
Arlington,Arlington High,Main Building - Area 1,2003,RM2L,Low,,,
Arlington,Arlington High,Stadium - Area 1,2003,RM1L,Low,,,
Arlington,Arlington High,Stadium Storage - Area 1,2003,RM1L,Low,,,
Arlington,Arlington High,Stadium Ticket Booth - Area 1,2003,RM1L,Low,,,
Arlington,District Administration,District Administration Office (Roosevelt) - Area 1,1940,C1L,Moderate to High,,,
Arlington,Eagle Creek Elementary, Portable 3  - Area 1,1998,MH,Moderate,,,
Arlington,Eagle Creek Elementary, Portable 4  - Area 1,1998,MH,Moderate,,,
Arlington,Eagle Creek Elementary,Covered Play - Covered Play,1989,C1L,Moderate,,,
Arlington,Eagle Creek Elementary,Main Building - Main Building,1989,RM1L,Moderate to High,,,
Arlington,Eagle Creek Elementary,Metal Storage Building - Area 1,1989,S3,Moderate,,,
Arlington,Haller Middle,Gymnasium Building - Gym,1978,RM1L,Moderate to High,,,
Arlington,Haller Middle,Hartz Field Bathroom and Storage Building - Area 1,1965,RM1L,Moderate to High,,,
Arlington,Haller Middle,Hartz Field Concession Building - Area 1,1965,W1,Low,,,
Arlington,Haller Middle,Main Building - Main Building,2006,S2L,Low,,,
Arlington,Haller Middle,Music Building - Music/Art,1968,RM1L,Moderate to High,,,
Arlington,Kent Prairie Elementary,Covered Play - Area 1,1993,C1L,Moderate,,,
Arlington,Kent Prairie Elementary,Main Building - Area 1,1993,RM1L,Moderate to High,,,
Arlington,Pioneer Elementary,Main Building - Main,2002,S2M,Low,,,
Arlington,Post Middle,B Building - Gym - Gym,1981,RM1L,Moderate to High,,,
Arlington,Post Middle,Building A Main - Main,1981,W2,Low,,,
Arlington,Post Middle,C Building - Art/Home Living/Woods - Art/Woods/Home,1981,FLT,Moderate,,,
Arlington,Post Middle,D Building Classrooms - Classrooms,1993,FLT,Moderate,,,
Arlington,Post Middle,Metal Storage (Senica) - Area 1,1981,S3,Moderate,,,
Arlington,Post Middle,Portable 2  - Area 1,1999,MH,Moderate,,,
Arlington,Post Middle,Portable 3  - Area 1,1999,MH,Moderate,,,
Arlington,Post Middle,Portable 4  - Area 1,1999,MH,Moderate,,,
Arlington,Post Middle,Portable 5  - Area 1,1999,MH,Moderate,,,
Arlington,Presidents Elementary,Main Building - Area 1,2004,S2L,Low,,,
Arlington,Stillaguamish Valley,Portable 1 Office - Area 1,1999,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 10 - Area 1,1991,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 11  - Restrooms,2001,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 2  - Area 1,1997,MH,Moderate,,,
