riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Alki/Admiral,1321 Harbor Ave SW,Seattle,Washington,1915,1,No visible,C,2,Ph,1,-122.382542771416,47.5914231316649
M,Alki/Admiral,2124 California Ave SW,Seattle,Washington,1928,3,No visible,R,2,GSV,2,-122.386378498627,47.5845080987373
M,Alki/Admiral,2306 42nd Ave SW,Seattle,Washington,1909,2,Visible,G,2,Ph-R,3,-122.385068454007,47.5827073699617
M,Alki/Admiral,4029 Beach Dr SW,Seattle,Washington,1928,1,No visible,C/R,1,Field,4,-122.409580512772,47.5678096883185
M,Ballard,1100 NW Leary Way,Seattle,Washington,1932,1,No visible,C,2,GSV,5,-122.371199926681,47.6636865605926
M,Ballard,1766 NW Market St,Seattle,Washington,1906,2,No visible,C/O,2,SIM,6,-122.381539258022,47.6686971329101
M,Ballard,1836 NW Market St,Seattle,Washington,1926,1,Sub Alt,C,2,Field,7,-122.381888913771,47.6686971329101
M,Ballard,1903 NW Market St,Seattle,Washington,1909,3,No visible,C/R,3,Field,8,-122.381839961877,47.6686423531142
H,Ballard,2000 NW Market St,Seattle,Washington,1924,2,No visible,P,3,Field,9,-122.382289853442,47.6686971329101
M,Ballard,2016 NW Market St,Seattle,Washington,1906,2,No visible,C/O,2,Field,10,-122.38289942055,47.6686971329101
M,Ballard,2021 NW 58th St,Seattle,Washington,1900,3,Permit,R,2,GSV,11,-122.382958862072,47.67089180728
M,Ballard,2026 NW Market St,Seattle,Washington,1904,2,No visible,C,3,Field,12,-122.383388938599,47.6686971329101
M,Ballard,2032 NW Market St,Seattle,Washington,1928,1,No visible,C,3,Field,13,-122.383729270734,47.6686971329101
M,Ballard,2056 NW Market St,Seattle,Washington,1925,3,No visible,C/R,3,GSV,14,-122.384379631237,47.6686971329101
M,Ballard,2116 NW Vernon Pl,Seattle,Washington,1912,1,No visible,O,2,Field,15,-122.383774726386,47.6661248293395
M,Ballard,2215 NW Market St,Seattle,Washington,1903,2,No visible,C/O,2,GSV,16,-122.385709489997,47.6686423531142
M,Ballard,2220 NW Market St,Seattle,Washington,1927,1,No visible,C,3,GSV,17,-122.385789910775,47.6686971329101
M,Ballard,2228 NW Market St,Seattle,Washington,1928,2,No visible,C,2,Field,18,-122.386148891037,47.6686971329101
M,Ballard,2236 NW Market St,Seattle,Washington,1927,1,No visible,C,2,Field,19,-122.386399477882,47.6686971329101
M,Ballard,2244 NW Market St,Seattle,Washington,1913,2,No visible,C/O,3,Field,20,-122.386451875714,47.6686954699291
M,Ballard,2301 NW Market St,Seattle,Washington,1928,1,No visible,C,2,Field,21,-122.386439105264,47.6686423531142
M,Ballard,2318 NW Market St,Seattle,Washington,1911,1,No visible,C,3,Field,22,-122.387148907289,47.6687064568547
M,Ballard,4711 Ballard Ave NW,Seattle,Washington,1900,2,No visible,C,2,Field,23,-122.379244348135,47.6630035655555
M,Ballard,4722 Ballard Ave NW,Seattle,Washington,1902,2,Visible,C,2,Field,24,-122.379719880314,47.663483759892
H,Ballard,4743 Ballard Ave NW,Seattle,Washington,1900,2,Sub Alt,P,3,Field,25,-122.380059047334,47.6636853947607
